id,sentence,tokens,labels
162,Gạo lứt giàu chất xơ có tốt cho người tiểu đường không?,Gạo_lứt giàu chất_xơ có tốt cho người tiểu_đường không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
163,Bị gout đau khớp nên tránh ăn thịt bò không?,Bị gout đau_khớp nên tránh ăn thịt_bò không ?,O B-DISEASE B-SYMPTOM O O O B-FOOD O O
164,Người bị huyết áp cao và chóng mặt nên ăn gì?,Người bị huyết_áp_cao và chóng_mặt nên ăn gì ?,O O B-DISEASE O B-SYMPTOM O O O O
165,Sữa chua chứa canxi tốt cho người bị loãng xương không?,Sữa_chua chứa canxi tốt cho người bị loãng_xương không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
166,Bị tiểu đường ăn chuối nhiều kali có ổn không?,Bị tiểu_đường ăn chuối nhiều kali có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
167,Người bị tim mạch mệt mỏi nên ăn cá hồi không?,Người bị tim_mạch mệt_mỏi nên ăn cá_hồi không ?,O O B-DISEASE B-SYMPTOM O O B-FOOD O O
168,Bị huyết áp cao đau đầu nên ăn thực phẩm gì?,Bị huyết_áp_cao đau_đầu nên ăn thực_phẩm gì ?,O B-DISEASE B-SYMPTOM O O O O O
169,Rau muống giàu sắt tốt cho người bị thiếu máu không?,Rau_muống giàu sắt tốt cho người bị thiếu_máu không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
170,Người bị gout bị đau khớp nên tránh thịt heo không?,Người bị gout bị đau_khớp nên tránh thịt_heo không ?,O O B-DISEASE O B-SYMPTOM O O B-FOOD O O
171,Yến mạch giàu chất xơ có giúp người béo phì giảm cân không?,Yến_mạch giàu chất_xơ có giúp người béo_phì giảm_cân không ?,B-FOOD O B-NUTRIENT O O O B-DISEASE O O O
172,Bị dạ dày khó tiêu nên ăn đậu phụ không?,Bị dạ_dày khó_tiêu nên ăn đậu_phụ không ?,O B-DISEASE B-SYMPTOM O O B-FOOD O O
173,Người ung thư cần protein nhiều nên ăn ức gà không?,Người ung_thư cần protein nhiều nên ăn ức_gà không ?,O B-DISEASE O B-NUTRIENT O O O B-FOOD O O
174,Bị tiểu đường mất ngủ nên ăn gì?,Bị tiểu_đường mất_ngủ nên ăn gì ?,O B-DISEASE B-SYMPTOM O O O O
175,Cà rốt giàu vitamin D tốt cho người bị loãng xương không?,Cà_rốt giàu vitamin_D tốt cho người bị loãng_xương không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
176,Bị thiếu máu chóng mặt nên bổ sung sắt từ thực phẩm nào?,Bị thiếu_máu chóng_mặt nên bổ_sung sắt từ thực_phẩm nào ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O O O O
177,Người bị gan nhiễm mỡ ăn óc chó có giảm chất béo không?,Người bị gan_nhiễm_mỡ ăn óc_chó có giảm chất_béo không ?,O O B-DISEASE O B-FOOD O O B-NUTRIENT O O
178,Bị gout uống nước mía có làm tăng acid uric không?,Bị gout uống nước_mía có làm tăng acid_uric không ?,O B-DISEASE O B-FOOD O O O O O O
179,Ăn trứng gà có làm tăng cholesterol cao không?,Ăn trứng_gà có làm tăng cholesterol_cao không ?,O B-FOOD O O O B-DISEASE O O
180,Người bị tiểu đường buồn nôn nên ăn gì?,Người bị tiểu_đường buồn_nôn nên ăn gì ?,O O B-DISEASE B-SYMPTOM O O O O
181,Khoai lang giàu tinh bột người tiểu đường ăn được không?,Khoai_lang giàu tinh_bột người tiểu_đường ăn được không ?,B-FOOD O B-NUTRIENT O B-DISEASE O O O O
182,Người bị huyết áp cao nên ăn chuối giàu kali không?,Người bị huyết_áp_cao nên ăn chuối giàu kali không ?,O O B-DISEASE O O B-FOOD O B-NUTRIENT O O
183,Bị loãng xương mệt mỏi nên bổ sung vitamin D từ đâu?,Bị loãng_xương mệt_mỏi nên bổ_sung vitamin_D từ đâu ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O O O
184,Người bị tim mạch ăn tôm giàu protein có ổn không?,Người bị tim_mạch ăn tôm giàu protein có ổn không ?,O O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
185,Bị béo phì đau khớp nên ăn thực phẩm gì để giảm cân?,Bị béo_phì đau_khớp nên ăn thực_phẩm gì để giảm_cân ?,O B-DISEASE B-SYMPTOM O O O O O O O
186,Người bị dạ dày không tiêu nên ăn gạo lứt không?,Người bị dạ_dày không_tiêu nên ăn gạo_lứt không ?,O O B-DISEASE B-SYMPTOM O O B-FOOD O O
187,Bị tiểu đường ăn cá thu giàu omega-3 có tốt không?,Bị tiểu_đường ăn cá_thu giàu omega-3 có tốt không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
188,Mệt mỏi do thiếu kẽm nên ăn hạt điều không?,Mệt_mỏi do thiếu kẽm nên ăn hạt_điều không ?,B-SYMPTOM O O B-NUTRIENT O O B-FOOD O O
189,Bị gout chóng mặt có liên quan đến chế độ ăn không?,Bị gout chóng_mặt có liên_quan đến chế_độ_ăn không ?,O B-DISEASE B-SYMPTOM O O O O O O
190,Người ung thư mệt mỏi nên bổ sung protein từ đậu phụ không?,Người ung_thư mệt_mỏi nên bổ_sung protein từ đậu_phụ không ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O B-FOOD O O
191,Bơ giàu chất béo lành mạnh tốt cho người bị tim mạch không?,Bơ giàu chất_béo lành_mạnh tốt cho người bị tim_mạch không ?,B-FOOD O B-NUTRIENT O O O O O B-DISEASE O O
192,Bị cholesterol cao đau đầu nên ăn cá hồi không?,Bị cholesterol_cao đau_đầu nên ăn cá_hồi không ?,O B-DISEASE B-SYMPTOM O O B-FOOD O O
193,Người bị thiếu máu nên ăn thịt bò và rau muống không?,Người bị thiếu_máu nên ăn thịt_bò và rau_muống không ?,O O B-DISEASE O O B-FOOD O B-FOOD O O
194,Bị huyết áp cao ăn gạo lứt và rau xanh có tốt không?,Bị huyết_áp_cao ăn gạo_lứt và rau_xanh có tốt không ?,O B-DISEASE O B-FOOD O B-FOOD O O O O
195,Người bị gout và tiểu đường nên ăn gì?,Người bị gout và tiểu_đường nên ăn gì ?,O O B-DISEASE O B-DISEASE O O O O
196,Mất ngủ do thiếu magiê ăn hạt điều có giúp không?,Mất_ngủ do thiếu magiê ăn hạt_điều có giúp không ?,B-SYMPTOM O O B-NUTRIENT O B-FOOD O O O O
197,Bị tiểu đường ăn đậu xanh giàu protein có ổn không?,Bị tiểu_đường ăn đậu_xanh giàu protein có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
198,Người bị loãng xương ăn sữa chua và trứng gà có tốt không?,Người bị loãng_xương ăn sữa_chua và trứng_gà có tốt không ?,O O B-DISEASE O B-FOOD O B-FOOD O O O O
199,Bị gan nhiễm mỡ chóng mặt nên bổ sung thực phẩm gì?,Bị gan_nhiễm_mỡ chóng_mặt nên bổ_sung thực_phẩm gì ?,O B-DISEASE B-SYMPTOM O O O O O
200,Người bị huyết áp cao và béo phì nên ăn gạo lứt và rau xanh không?,Người bị huyết_áp_cao và béo_phì nên ăn gạo_lứt và rau_xanh không ?,O O B-DISEASE O B-DISEASE O O B-FOOD O O O O
201,Muốn giảm cân nên ăn gì?,Muốn giảm_cân nên ăn gì ?,O O O O O O
202,Ăn gì để tăng cân lành mạnh?,Ăn gì để tăng_cân lành_mạnh ?,O O O O O O
203,Giảm cân có nên bỏ tinh bột không?,Giảm_cân có nên bỏ tinh_bột không ?,O O O O B-NUTRIENT O O
204,Ức gà giúp giảm cân hiệu quả không?,Ức_gà giúp giảm_cân hiệu_quả không ?,B-FOOD O O O O O
205,Người muốn giảm cân nên hạn chế chất béo không?,Người muốn giảm_cân nên hạn_chế chất_béo không ?,O O O O O B-NUTRIENT O O
206,Gạo lứt tốt cho người đang giảm cân không?,Gạo_lứt tốt cho người đang giảm_cân không ?,B-FOOD O O O O O O O
207,Ăn bơ có béo không khi đang giảm cân?,Ăn bơ có béo không khi đang giảm_cân ?,O B-FOOD O O O O O O O
208,Muốn tăng cân nên ăn thực phẩm giàu protein nào?,Muốn tăng_cân nên ăn thực_phẩm giàu protein nào ?,O O O O O O B-NUTRIENT O O
209,Khoai lang giúp tăng cân lành mạnh không?,Khoai_lang giúp tăng_cân lành_mạnh không ?,B-FOOD O O O O O
210,Yến mạch có phù hợp cho người muốn giảm cân không?,Yến_mạch có phù_hợp cho người muốn giảm_cân không ?,B-FOOD O O O O O O O O
211,Giảm cân nên bổ sung chất xơ từ thực phẩm nào?,Giảm_cân nên bổ_sung chất_xơ từ thực_phẩm nào ?,O O O B-NUTRIENT O O O O
212,Bắp cải có giúp giảm cân không?,Bắp_cải có giúp giảm_cân không ?,B-FOOD O O O O O
213,Người tăng cân nên ăn nhiều calo từ thực phẩm nào?,Người tăng_cân nên ăn nhiều calo từ thực_phẩm nào ?,O O O O O B-NUTRIENT O O O O
214,Ăn chay có giúp giảm cân không?,Ăn_chay có giúp giảm_cân không ?,O O O O O O
215,Hạt điều giúp tăng cân không?,Hạt_điều giúp tăng_cân không ?,B-FOOD O O O O
216,Bưởi có tác dụng giảm cân không?,Bưởi có tác_dụng giảm_cân không ?,B-FOOD O O O O O
217,Giảm cân nên ăn ức gà thay thịt heo không?,Giảm_cân nên ăn ức_gà thay thịt_heo không ?,O O O B-FOOD O B-FOOD O O
218,Đậu phụ tốt cho người đang giảm cân không?,Đậu_phụ tốt cho người đang giảm_cân không ?,B-FOOD O O O O O O O
219,Rau chân vịt giúp giảm cân và bổ sung sắt không?,Rau_chân_vịt giúp giảm_cân và bổ_sung sắt không ?,B-FOOD O O O O B-NUTRIENT O O
220,Người giảm cân nên bổ sung protein từ đậu xanh không?,Người giảm_cân nên bổ_sung protein từ đậu_xanh không ?,O O O O B-NUTRIENT O B-FOOD O O
221,Bà bầu 3 tháng đầu nên bổ sung gì?,Bà_bầu 3_tháng_đầu nên bổ_sung gì ?,O O O O O O
222,Phụ nữ mang thai cần bổ sung folate không?,Phụ_nữ mang_thai cần bổ_sung folate không ?,O O O O B-NUTRIENT O O
223,Bà bầu nên ăn thực phẩm giàu sắt nào?,Bà_bầu nên ăn thực_phẩm giàu sắt nào ?,O O O O O B-NUTRIENT O O
224,Trẻ em cần bao nhiêu canxi mỗi ngày?,Trẻ_em cần bao_nhiêu canxi mỗi ngày ?,O O O B-NUTRIENT O O O
225,Người cao tuổi nên ăn gì để khỏe xương?,Người cao_tuổi nên ăn gì để khỏe xương ?,O O O O O O O O O
226,Bà bầu ăn trứng gà được không?,Bà_bầu ăn trứng_gà được không ?,O O B-FOOD O O O
227,Trẻ em cần bổ sung vitamin D từ thực phẩm nào?,Trẻ_em cần bổ_sung vitamin_D từ thực_phẩm nào ?,O O O B-NUTRIENT O O O O
228,Bà bầu 3 tháng cuối nên ăn nhiều protein không?,Bà_bầu 3_tháng_cuối nên ăn nhiều protein không ?,O O O O O B-NUTRIENT O O
229,Người già bị loãng xương nên uống sữa không?,Người già bị loãng_xương nên uống sữa không ?,O O O B-DISEASE O O B-FOOD O O
230,Trẻ em biếng ăn nên bổ sung kẽm không?,Trẻ_em biếng_ăn nên bổ_sung kẽm không ?,O O O O B-NUTRIENT O O
231,Bà bầu thiếu máu nên ăn thịt bò không?,Bà_bầu thiếu_máu nên ăn thịt_bò không ?,O B-DISEASE O O B-FOOD O O
232,Trẻ nhỏ cần vitamin B12 từ thực phẩm nào?,Trẻ_nhỏ cần vitamin_B12 từ thực_phẩm nào ?,O O B-NUTRIENT O O O O
233,Người già nên ăn cá hồi để bổ sung omega-3 không?,Người già nên ăn cá_hồi để bổ_sung omega-3 không ?,O O O O B-FOOD O O B-NUTRIENT O O
234,Bà bầu nên ăn rau chân vịt giàu folate không?,Bà_bầu nên ăn rau_chân_vịt giàu folate không ?,O O O B-FOOD O B-NUTRIENT O O
235,Trẻ em thiếu canxi có nên uống sữa không?,Trẻ_em thiếu canxi có nên uống sữa không ?,O O B-NUTRIENT O O O B-FOOD O O
236,Người cao tuổi bị táo bón nên ăn gì?,Người cao_tuổi bị táo_bón nên ăn gì ?,O O O B-SYMPTOM O O O O
237,Bà bầu bị ợ nóng nên tránh ăn gì?,Bà_bầu bị ợ_nóng nên tránh ăn gì ?,O O B-SYMPTOM O O O O O
238,Trẻ em cần acid folic từ thực phẩm nào?,Trẻ_em cần acid_folic từ thực_phẩm nào ?,O O B-NUTRIENT O O O O
239,Người già nên ăn đậu phụ giàu canxi không?,Người già nên ăn đậu_phụ giàu canxi không ?,O O O O B-FOOD O B-NUTRIENT O O
240,Bà bầu nên bổ sung vitamin D từ cá hồi không?,Bà_bầu nên bổ_sung vitamin_D từ cá_hồi không ?,O O O B-NUTRIENT O B-FOOD O O
241,Sau tập gym nên ăn gì để tăng cơ?,Sau tập_gym nên ăn gì để tăng_cơ ?,O O O O O O O O
242,Trước khi chạy bộ nên ăn gì?,Trước khi chạy_bộ nên ăn gì ?,O O O O O O O
243,Ăn bao nhiêu protein mỗi ngày để tăng cơ?,Ăn bao_nhiêu protein mỗi ngày để tăng_cơ ?,O O B-NUTRIENT O O O O O
244,Sau tập thể thao nên ăn ức gà không?,Sau tập_thể_thao nên ăn ức_gà không ?,O O O O B-FOOD O O
245,Tập gym cần bổ sung creatine không?,Tập_gym cần bổ_sung creatine không ?,O O O B-NUTRIENT O O
246,Trước khi tập gym nên ăn khoai lang không?,Trước khi tập_gym nên ăn khoai_lang không ?,O O O O O B-FOOD O O
247,Người tập gym cần bao nhiêu calo mỗi ngày?,Người tập_gym cần bao_nhiêu calo mỗi ngày ?,O O O O B-NUTRIENT O O O
248,Sau chạy bộ bị chuột rút nên bổ sung gì?,Sau chạy_bộ bị chuột_rút nên bổ_sung gì ?,O O O B-SYMPTOM O O O O
249,Tập thể thao cần bổ sung vitamin D không?,Tập_thể_thao cần bổ_sung vitamin_D không ?,O O O B-NUTRIENT O O
250,Ăn yến mạch trước khi tập gym có tốt không?,Ăn yến_mạch trước khi tập_gym có tốt không ?,O B-FOOD O O O O O O O
251,Người tập gym bị đau cơ nên ăn gì?,Người tập_gym bị đau_cơ nên ăn gì ?,O O O B-SYMPTOM O O O O
252,Cá hồi giúp phục hồi cơ sau tập luyện không?,Cá_hồi giúp phục_hồi cơ sau tập_luyện không ?,B-FOOD O O O O O O O
253,Tập gym nên ăn trứng gà để bổ sung protein không?,Tập_gym nên ăn trứng_gà để bổ_sung protein không ?,O O O B-FOOD O O B-NUTRIENT O O
254,Sau tập nặng bị mệt mỏi nên uống gì?,Sau tập_nặng bị mệt_mỏi nên uống gì ?,O O O B-SYMPTOM O O O O
255,Người chạy bộ cần bổ sung kali từ chuối không?,Người chạy_bộ cần bổ_sung kali từ chuối không ?,O O O O B-NUTRIENT O B-FOOD O O
256,Tập gym có cần uống sữa protein không?,Tập_gym có cần uống sữa_protein không ?,O O O O B-FOOD O O
257,Hạt hạnh nhân tốt cho người tập thể thao không?,Hạt_hạnh_nhân tốt cho người tập_thể_thao không ?,B-FOOD O O O O O O
258,Sau tập gym bị chuột rút thiếu kali nên ăn gì?,Sau tập_gym bị chuột_rút thiếu kali nên ăn gì ?,O O O B-SYMPTOM O B-NUTRIENT O O O O
259,Tập thể thao cần ăn bao nhiêu chất xơ?,Tập_thể_thao cần ăn bao_nhiêu chất_xơ ?,O O O O B-NUTRIENT O
260,Bơ giàu chất béo tốt cho người tập gym không?,Bơ giàu chất_béo tốt cho người tập_gym không ?,B-FOOD O B-NUTRIENT O O O O O O
261,Ăn chay có đủ protein không?,Ăn_chay có đủ protein không ?,O O O B-NUTRIENT O O
262,Người ăn chay nên bổ sung vitamin B12 từ đâu?,Người ăn_chay nên bổ_sung vitamin_B12 từ đâu ?,O O O O B-NUTRIENT O O O
263,Người dị ứng hải sản bổ sung omega-3 từ đâu?,Người dị_ứng hải_sản bổ_sung omega-3 từ đâu ?,O O B-FOOD O B-NUTRIENT O O O
264,Ăn keto có tốt không?,Ăn_keto có tốt không ?,O O O O O
265,Ăn chay nên ăn đậu phụ để bổ sung protein không?,Ăn_chay nên ăn đậu_phụ để bổ_sung protein không ?,O O O B-FOOD O O B-NUTRIENT O O
266,Người ăn chay thiếu sắt nên ăn gì?,Người ăn_chay thiếu sắt nên ăn gì ?,O O O B-NUTRIENT O O O O
267,Ăn chay có thiếu canxi không?,Ăn_chay có thiếu canxi không ?,O O O B-NUTRIENT O O
268,Người dị ứng sữa bổ sung canxi từ đâu?,Người dị_ứng sữa bổ_sung canxi từ đâu ?,O O B-FOOD O B-NUTRIENT O O O
269,Ăn chay nên ăn đậu lăng giàu protein không?,Ăn_chay nên ăn đậu_lăng giàu protein không ?,O O O B-FOOD O B-NUTRIENT O O
270,Chế độ keto cần hạn chế tinh bột không?,Chế_độ_keto cần hạn_chế tinh_bột không ?,O O O B-NUTRIENT O O
271,Người ăn chay bị thiếu máu nên bổ sung gì?,Người ăn_chay bị thiếu_máu nên bổ_sung gì ?,O O O B-DISEASE O O O O
272,Ăn chay có thiếu omega-3 không?,Ăn_chay có thiếu omega-3 không ?,O O O B-NUTRIENT O O
273,Người dị ứng gluten nên ăn gạo lứt không?,Người dị_ứng gluten nên ăn gạo_lứt không ?,O O O O O B-FOOD O O
274,Ăn thuần chay cần bổ sung vitamin B12 không?,Ăn_thuần_chay cần bổ_sung vitamin_B12 không ?,O O O B-NUTRIENT O O
275,Người ăn chay tập gym thiếu protein nên ăn gì?,Người ăn_chay tập_gym thiếu protein nên ăn gì ?,O O O O B-NUTRIENT O O O O
276,Đậu xanh tốt cho người ăn chay thiếu sắt không?,Đậu_xanh tốt cho người ăn_chay thiếu sắt không ?,B-FOOD O O O O O B-NUTRIENT O O
277,Ăn chay nên bổ sung kẽm từ hạt điều không?,Ăn_chay nên bổ_sung kẽm từ hạt_điều không ?,O O O B-NUTRIENT O B-FOOD O O
278,Người ăn chay bị mệt mỏi có thể thiếu vitamin B12 không?,Người ăn_chay bị mệt_mỏi có_thể thiếu vitamin_B12 không ?,O O O B-SYMPTOM O O B-NUTRIENT O O
279,Hạt chia tốt cho người ăn chay thiếu omega-3 không?,Hạt_chia tốt cho người ăn_chay thiếu omega-3 không ?,B-FOOD O O O O O B-NUTRIENT O O
280,Bông cải xanh giàu canxi tốt cho người ăn chay không?,Bông_cải_xanh giàu canxi tốt cho người ăn_chay không ?,B-FOOD O B-NUTRIENT O O O O O O
281,Người tiểu đường muốn giảm cân nên ăn gì?,Người tiểu_đường muốn giảm_cân nên ăn gì ?,O B-DISEASE O O O O O O
282,Bà bầu bị thiếu máu nên bổ sung sắt từ thực phẩm nào?,Bà_bầu bị thiếu_máu nên bổ_sung sắt từ thực_phẩm nào ?,O O B-DISEASE O O B-NUTRIENT O O O O
283,Sau tập gym bị đau cơ nên ăn gì để phục hồi?,Sau tập_gym bị đau_cơ nên ăn gì để phục_hồi ?,O O O B-SYMPTOM O O O O O O
284,Người ăn chay bị loãng xương nên bổ sung canxi từ đâu?,Người ăn_chay bị loãng_xương nên bổ_sung canxi từ đâu ?,O O O B-DISEASE O O B-NUTRIENT O O O
285,Bà bầu tập thể dục nhẹ cần bổ sung gì?,Bà_bầu tập_thể_dục nhẹ cần bổ_sung gì ?,O O O O O O O
286,Người tiểu đường tập gym cần ăn gì trước khi tập?,Người tiểu_đường tập_gym cần ăn gì trước khi tập ?,O B-DISEASE O O O O O O O O
287,Người ăn chay muốn tăng cơ cần bổ sung protein từ đâu?,Người ăn_chay muốn tăng_cơ cần bổ_sung protein từ đâu ?,O O O O O O B-NUTRIENT O O O
288,Bà bầu bị ợ nóng và thiếu sắt nên ăn gì?,Bà_bầu bị ợ_nóng và thiếu sắt nên ăn gì ?,O O B-SYMPTOM O O B-NUTRIENT O O O O
289,Người cao tuổi bị loãng xương muốn tập thể dục nhẹ cần ăn gì?,Người cao_tuổi bị loãng_xương muốn tập_thể_dục nhẹ cần ăn gì ?,O O O B-DISEASE O O O O O O O
290,Sau tập gym bị chuột rút và mệt mỏi nên bổ sung gì?,Sau tập_gym bị chuột_rút và mệt_mỏi nên bổ_sung gì ?,O O O B-SYMPTOM O B-SYMPTOM O O O O
291,Người tiểu đường ăn chay nên bổ sung protein từ đậu lăng không?,Người tiểu_đường ăn_chay nên bổ_sung protein từ đậu_lăng không ?,O B-DISEASE O O O B-NUTRIENT O B-FOOD O O
292,Bà bầu bị huyết áp cao nên ăn gì?,Bà_bầu bị huyết_áp_cao nên ăn gì ?,O O B-DISEASE O O O O
293,Người tập gym bị gout nên ăn gì để tăng cơ?,Người tập_gym bị gout nên ăn gì để tăng_cơ ?,O O O B-DISEASE O O O O O O
294,Trẻ em béo phì cần giảm tinh bột không?,Trẻ_em béo_phì cần giảm tinh_bột không ?,O B-DISEASE O O B-NUTRIENT O O
295,Người cao tuổi ăn chay thiếu vitamin B12 nên bổ sung từ đâu?,Người cao_tuổi ăn_chay thiếu vitamin_B12 nên bổ_sung từ đâu ?,O O O O B-NUTRIENT O O O O O
296,Bà bầu bị tiểu đường nên ăn gạo lứt không?,Bà_bầu bị tiểu_đường nên ăn gạo_lứt không ?,O O B-DISEASE O O B-FOOD O O
297,Người tập gym muốn giảm cân nên ăn ức gà không?,Người tập_gym muốn giảm_cân nên ăn ức_gà không ?,O O O O O O B-FOOD O O
298,Sau tập gym bị đau cơ thiếu protein nên ăn cá hồi không?,Sau tập_gym bị đau_cơ thiếu protein nên ăn cá_hồi không ?,O O O B-SYMPTOM O B-NUTRIENT O O B-FOOD O O
299,Trẻ em ăn chay thiếu canxi và vitamin D nên bổ sung gì?,Trẻ_em ăn_chay thiếu canxi và vitamin_D nên bổ_sung gì ?,O O O B-NUTRIENT O B-NUTRIENT O O O O
300,Người tiểu đường muốn tập gym cần bổ sung protein từ đậu phụ không?,Người tiểu_đường muốn tập_gym cần bổ_sung protein từ đậu_phụ không ?,O B-DISEASE O O O O B-NUTRIENT O B-FOOD O O
